time,frequency,confidence
5.300,525.148,0.959536
5.310,525.246,0.959884
5.320,525.188,0.962754
5.330,525.334,0.962065
5.340,525.325,0.966067
5.350,525.485,0.963490
5.360,525.215,0.964773
5.370,525.210,0.963048
5.380,524.972,0.965795
5.390,524.734,0.964142
5.400,524.211,0.962532
5.410,524.004,0.959974
5.420,524.122,0.963970
5.430,524.135,0.964187
5.440,524.227,0.963704
5.450,524.241,0.962788
5.460,524.775,0.965354
5.470,524.993,0.967306
5.480,525.480,0.965235
5.490,525.527,0.964084
5.500,525.701,0.964355
5.510,525.893,0.965449
5.520,526.074,0.963257
5.530,526.003,0.962372
5.540,525.931,0.963209
5.550,526.059,0.964715
5.560,526.110,0.963131
5.570,525.768,0.963021
5.580,525.253,0.963927
5.590,525.029,0.967082
5.600,524.771,0.964325
5.610,524.420,0.963682
5.620,524.347,0.961882
5.630,524.597,0.966657
5.640,524.871,0.965090
5.650,525.170,0.964695
5.660,525.243,0.963180
5.670,525.949,0.965327
5.680,526.034,0.962724
5.690,526.422,0.961126
5.700,526.139,0.960311
5.710,526.238,0.963477
5.720,525.871,0.963034
5.730,525.705,0.963909
5.740,525.059,0.963456
5.750,525.114,0.966232
5.760,524.784,0.965997
5.770,524.852,0.965037
5.780,524.436,0.964013
5.790,524.597,0.964180
5.800,524.523,0.966803
5.810,524.905,0.964597
5.820,524.978,0.965002
5.830,525.152,0.964494
5.840,525.410,0.966563
5.850,525.634,0.964072
5.860,525.735,0.962578
5.870,525.740,0.961988
5.880,525.901,0.963404
5.890,525.722,0.961836
5.900,525.455,0.959316
5.910,524.967,0.959017
5.920,524.690,0.959458
5.930,524.182,0.955614
5.940,523.848,0.946564
5.950,523.883,0.947330
5.960,524.085,0.944719
5.970,524.143,0.938875
5.980,524.701,0.924467
5.990,525.378,0.874454
6.000,527.133,0.748703
